Look-back Period (Seconds),Forecasting horizon (Seconds),Validation RMSE,Test RMSE
60,30,11.734671,11.189302
60,60,11.056489,10.683768
60,300,10.993416,10.625596
60,600,11.644668,11.04498
120,30,6.3028326,6.103762
120,60,6.2160735,6.1331735
120,300,5.969483,5.81021
120,600,6.1689773,5.7007227
180,30,5.3814044,5.497317
180,60,5.7806935,5.808645
180,300,6.278851,5.9078245
180,600,7.1903553,7.086444
300,30,5.1194663,5.3687797
300,60,4.883753,5.182844
300,300,4.684984,4.8022914
300,600,5.5241766,5.662158
