Window Size / Seconds in history,Ahead / Seconds in the future,Train MAE,Validation MAE
60,4,7.854151,7.874523
60,30,8.10148,9.096668
60,60,7.3246255,8.255379
60,120,7.758362,8.457626
60,300,8.18382,8.987526
60,360,8.359089,9.628497
120,4,5.368586,5.509822
120,30,4.6548657,5.0865655
120,60,5.080933,5.3980255
120,120,5.273049,5.753612
120,300,5.3554196,5.912544
120,360,5.2548165,5.4129205
300,4,3.2655754,3.939226
300,30,3.6951146,4.324232
300,60,3.6982787,4.0153155
300,120,3.5886269,4.3655376
300,300,4.3472853,4.604151
300,360,3.9915025,4.3541174
360,4,3.1618032,3.9175212
360,30,3.894763,4.6740026
360,60,3.7652993,4.19445
360,120,4.5476785,5.1809554
360,300,4.3321967,5.066662
360,360,4.1853704,4.613785
